created model
Epoch 154/200 | Train Loss: 0.5963 | Val Loss: 6.2665 | Style Acc: 0.5749 | Artist Acc: 0.3912
Epoch 155/200 | Train Loss: 0.5918 | Val Loss: 6.2724 | Style Acc: 0.5734 | Artist Acc: 0.3897
Epoch 156/200 | Train Loss: 0.5876 | Val Loss: 6.2986 | Style Acc: 0.5757 | Artist Acc: 0.3895
Epoch 157/200 | Train Loss: 0.5894 | Val Loss: 6.3102 | Style Acc: 0.5769 | Artist Acc: 0.3900
Epoch 158/200 | Train Loss: 0.5847 | Val Loss: 6.3041 | Style Acc: 0.5798 | Artist Acc: 0.3913
Epoch 159/200 | Train Loss: 0.5845 | Val Loss: 6.2950 | Style Acc: 0.5761 | Artist Acc: 0.3916
Epoch 160/200 | Train Loss: 0.5855 | Val Loss: 6.2739 | Style Acc: 0.5745 | Artist Acc: 0.3915
Epoch 161/200 | Train Loss: 0.5799 | Val Loss: 6.3013 | Style Acc: 0.5749 | Artist Acc: 0.3934
Epoch 162/200 | Train Loss: 0.5798 | Val Loss: 6.2836 | Style Acc: 0.5798 | Artist Acc: 0.3945
Epoch 163/200 | Train Loss: 0.5709 | Val Loss: 6.2993 | Style Acc: 0.5757 | Artist Acc: 0.3921
Epoch 164/200 | Train Loss: 0.5740 | Val Loss: 6.3311 | Style Acc: 0.5737 | Artist Acc: 0.3917
Epoch 165/200 | Train Loss: 0.5772 | Val Loss: 6.2948 | Style Acc: 0.5785 | Artist Acc: 0.3904
Epoch 166/200 | Train Loss: 0.5671 | Val Loss: 6.3192 | Style Acc: 0.5746 | Artist Acc: 0.3886
Epoch 167/200 | Train Loss: 0.5683 | Val Loss: 6.3031 | Style Acc: 0.5782 | Artist Acc: 0.3920
Epoch 168/200 | Train Loss: 0.5641 | Val Loss: 6.3008 | Style Acc: 0.5793 | Artist Acc: 0.3928
Epoch 169/200 | Train Loss: 0.5686 | Val Loss: 6.3327 | Style Acc: 0.5737 | Artist Acc: 0.3921
Epoch 170/200 | Train Loss: 0.5641 | Val Loss: 6.3189 | Style Acc: 0.5774 | Artist Acc: 0.3901
Epoch 171/200 | Train Loss: 0.5654 | Val Loss: 6.3211 | Style Acc: 0.5793 | Artist Acc: 0.3931
Epoch 172/200 | Train Loss: 0.5589 | Val Loss: 6.3256 | Style Acc: 0.5787 | Artist Acc: 0.3927
Epoch 173/200 | Train Loss: 0.5598 | Val Loss: 6.3040 | Style Acc: 0.5788 | Artist Acc: 0.3928
Epoch 174/200 | Train Loss: 0.5515 | Val Loss: 6.3225 | Style Acc: 0.5762 | Artist Acc: 0.3929
Epoch 175/200 | Train Loss: 0.5525 | Val Loss: 6.3376 | Style Acc: 0.5763 | Artist Acc: 0.3909
Epoch 176/200 | Train Loss: 0.5563 | Val Loss: 6.3195 | Style Acc: 0.5783 | Artist Acc: 0.3931
Epoch 177/200 | Train Loss: 0.5550 | Val Loss: 6.3323 | Style Acc: 0.5768 | Artist Acc: 0.3883
Epoch 178/200 | Train Loss: 0.5529 | Val Loss: 6.3231 | Style Acc: 0.5763 | Artist Acc: 0.3915
Epoch 179/200 | Train Loss: 0.5592 | Val Loss: 6.3113 | Style Acc: 0.5767 | Artist Acc: 0.3918
Epoch 180/200 | Train Loss: 0.5500 | Val Loss: 6.3337 | Style Acc: 0.5787 | Artist Acc: 0.3913
Epoch 181/200 | Train Loss: 0.5435 | Val Loss: 6.3294 | Style Acc: 0.5758 | Artist Acc: 0.3915
Epoch 182/200 | Train Loss: 0.5571 | Val Loss: 6.3124 | Style Acc: 0.5787 | Artist Acc: 0.3936
Epoch 183/200 | Train Loss: 0.5508 | Val Loss: 6.3283 | Style Acc: 0.5766 | Artist Acc: 0.3902
Epoch 184/200 | Train Loss: 0.5520 | Val Loss: 6.3386 | Style Acc: 0.5795 | Artist Acc: 0.3918
Epoch 185/200 | Train Loss: 0.5514 | Val Loss: 6.3266 | Style Acc: 0.5771 | Artist Acc: 0.3911
Epoch 186/200 | Train Loss: 0.5484 | Val Loss: 6.3311 | Style Acc: 0.5787 | Artist Acc: 0.3912
Epoch 187/200 | Train Loss: 0.5504 | Val Loss: 6.3214 | Style Acc: 0.5774 | Artist Acc: 0.3897
Epoch 188/200 | Train Loss: 0.5526 | Val Loss: 6.3257 | Style Acc: 0.5765 | Artist Acc: 0.3901
Epoch 189/200 | Train Loss: 0.5465 | Val Loss: 6.3426 | Style Acc: 0.5782 | Artist Acc: 0.3886
Epoch 190/200 | Train Loss: 0.5460 | Val Loss: 6.3308 | Style Acc: 0.5795 | Artist Acc: 0.3911
Epoch 191/200 | Train Loss: 0.5442 | Val Loss: 6.3315 | Style Acc: 0.5787 | Artist Acc: 0.3900
Epoch 192/200 | Train Loss: 0.5481 | Val Loss: 6.3319 | Style Acc: 0.5790 | Artist Acc: 0.3915
Epoch 193/200 | Train Loss: 0.5498 | Val Loss: 6.3313 | Style Acc: 0.5767 | Artist Acc: 0.3904
Epoch 194/200 | Train Loss: 0.5482 | Val Loss: 6.3371 | Style Acc: 0.5782 | Artist Acc: 0.3909
Epoch 195/200 | Train Loss: 0.5448 | Val Loss: 6.3340 | Style Acc: 0.5793 | Artist Acc: 0.3913
Epoch 196/200 | Train Loss: 0.5421 | Val Loss: 6.3426 | Style Acc: 0.5772 | Artist Acc: 0.3920
Epoch 197/200 | Train Loss: 0.5525 | Val Loss: 6.3330 | Style Acc: 0.5787 | Artist Acc: 0.3912
Epoch 198/200 | Train Loss: 0.5483 | Val Loss: 6.3452 | Style Acc: 0.5771 | Artist Acc: 0.3933
Epoch 199/200 | Train Loss: 0.5455 | Val Loss: 6.3385 | Style Acc: 0.5799 | Artist Acc: 0.3911
Epoch 200/200 | Train Loss: 0.5449 | Val Loss: 6.3351 | Style Acc: 0.5756 | Artist Acc: 0.3917
